"","STATE10","total_population","covered_population","coverage","STATE"
"1","01",4779736,4055986,0.848579503135738,"AL"
"2","02",710231,708375,0.997386765714254,"AK"
"3","04",6392017,5971753,0.934251739317965,"AZ"
"4","05",2915918,2914514,0.999518504978535,"AR"
"5","06",37253956,34055010,0.914131374396856,"CA"
"6","08",5029196,4972417,0.988710123844845,"CO"
"7","09",3574097,3568673,0.998482413879646,"CT"
"8","10",897934,894194,0.995834883187406,"DE"
"9","11",601723,598711,0.994994374487929,"DC"
"10","12",18801310,18744279,0.996966647536794,"FL"
"11","13",9687653,9611817,0.992171891375548,"GA"
"12","15",1360301,1243801,0.914357190063082,"HI"
"13","16",1567582,1561043,0.995828607371098,"ID"
"14","17",12830632,12805678,0.998055123083571,"IL"
"15","18",6483802,6424088,0.990790280147358,"IN"
"16","19",3046355,2956073,0.970363926725546,"IA"
"17","20",2853118,2839461,0.995213306985551,"KS"
"18","21",4339367,4291374,0.988940091953504,"KY"
"19","22",4533372,4502260,0.993137117359881,"LA"
"20","23",1328361,1290780,0.971708744836682,"ME"
"21","24",5773552,5755605,0.996891514963406,"MD"
"22","25",6547629,6525869,0.996676659596932,"MA"
"23","26",9883640,9551241,0.966368766972492,"MI"
"24","27",5303925,5301699,0.999580310807562,"MN"
"25","28",2967297,2952062,0.994865697636603,"MS"
"26","29",5988927,5894740,0.984273142751615,"MO"
"27","30",989415,957227,0.967467645022564,"MT"
"28","31",1826341,1736698,0.950916614148179,"NE"
"29","32",2700551,2646397,0.979947055249095,"NV"
"30","33",1316470,1316470,1,"NH"
"31","34",8791894,8693606,0.9888206113495,"NJ"
"32","35",2059179,2039302,0.990347123780886,"NM"
"33","36",19378102,19193682,0.990483072077957,"NY"
"34","37",9535483,9488385,0.995060764095537,"NC"
"35","38",672591,653427,0.971507201256038,"ND"
"36","39",11536504,11526534,0.999135786716669,"OH"
"37","40",3751351,3700157,0.98635318315988,"OK"
"38","41",3831074,3791334,0.989626929680815,"OR"
"39","42",12702379,11200770,0.881785215194729,"PA"
"40","44",1052567,895419,0.850700240459752,"RI"
"41","45",4625364,4594605,0.993349928783983,"SC"
"42","46",814180,747656,0.918293252106414,"SD"
"43","47",6346105,6325663,0.996778811570247,"TN"
"44","48",25145561,24852003,0.988325653183876,"TX"
"45","49",2763885,2676345,0.968327191616149,"UT"
"46","50",625741,624000,0.997217698696426,"VT"
"47","51",8001024,7676636,0.959456689543738,"VA"
"48","53",6724540,6366277,0.946723047227022,"WA"
"49","54",1852994,1852994,1,"WV"
"50","55",5686986,5646330,0.992851046230815,"WI"
"51","56",563626,17379,0.0308342766302477,"WY"
"52","72",3725789,6267,0.00168205982679105,"PR"
